epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,247.053,1.09033,1.28642,0.97522,0.63701,0.76415,0.76198,0.47399,1.38707,1.37054,1.0694,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,250.051,1.07392,1.25005,0.95471,0.74187,0.70559,0.73459,0.44905,1.39047,1.36937,1.06961,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,253.021,1.04642,1.17147,0.94498,0.66059,0.76514,0.74799,0.47031,1.36686,1.32879,1.06146,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,255.973,1.064,1.18148,0.95323,0.73256,0.71637,0.74722,0.46926,1.38455,1.3476,1.06615,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,259.074,1.04507,1.17723,0.9417,0.79683,0.66377,0.7528,0.4673,1.40031,1.35872,1.07299,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
84,262.004,1.05,1.19715,0.96125,0.69794,0.72531,0.75064,0.46515,1.39215,1.33886,1.07451,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875
85,265.15,1.02049,1.15266,0.92832,0.73775,0.73214,0.75829,0.46607,1.3972,1.33068,1.08017,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
86,268.187,1.07322,1.19852,0.9539,0.73864,0.71837,0.74707,0.46066,1.37943,1.34728,1.06745,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
87,271.051,1.05879,1.23158,0.95074,0.76299,0.67798,0.74358,0.46834,1.38188,1.37511,1.07185,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
88,273.996,1.07504,1.20347,0.95574,0.76594,0.65855,0.74099,0.46087,1.40406,1.40072,1.07808,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375
89,276.988,1.00836,1.16933,0.94775,0.74256,0.70889,0.72943,0.45078,1.4081,1.41236,1.08033,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
90,280.017,1.05933,1.17548,0.95629,0.7663,0.6897,0.75722,0.48004,1.38293,1.37444,1.07355,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625
91,283.425,1.06039,1.34562,0.95376,0.70718,0.67459,0.71767,0.44519,1.38125,1.43691,1.07466,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
92,286.374,1.02175,1.35348,0.94164,0.67376,0.6737,0.72436,0.45637,1.40541,1.45146,1.08616,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875
93,289.231,1.01341,1.32244,0.93958,0.67505,0.68755,0.71522,0.44459,1.40492,1.43107,1.08346,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
94,292.19,0.98689,1.29999,0.92685,0.70967,0.67062,0.72588,0.44481,1.39513,1.42697,1.08505,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05
95,295.089,1.02188,1.29611,0.95337,0.67498,0.71664,0.71015,0.44368,1.40244,1.4525,1.0909,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
96,298.116,1.02875,1.30964,0.94275,0.70854,0.69487,0.72596,0.44871,1.40982,1.42102,1.09689,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
97,301.241,1.00829,1.26609,0.9367,0.67838,0.71737,0.73052,0.44452,1.41581,1.40957,1.09365,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
98,304.417,1.00342,1.28753,0.9345,0.67582,0.69277,0.71382,0.44156,1.41774,1.45523,1.08974,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05
99,307.574,1.0368,1.33405,0.95146,0.69019,0.72135,0.73554,0.45044,1.43053,1.46092,1.09258,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
100,310.761,1.01114,1.29738,0.95485,0.69137,0.7211,0.7335,0.44827,1.43107,1.4359,1.09102,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05
